"","unknown","joy","sadness","anger","surprise","fear","disgust"
"dirltrpictwittercombowlqapaa",1,0,0,0,0,0,0
"dirltrpictwittercombzzzkkifa",0,0,0,0,0,1,0
"dirltrpictwittercomckrxafsoca",1,0,0,0,0,0,0
"dirltrpictwittercomdgyyiwlrgqa",1,0,0,0,0,0,0
"dirltrpictwittercomejiawvwbzka",0,0,0,1,0,0,0
"dirltrpictwittercomgaqceouka",1,0,0,0,0,0,0
"dirltrpictwittercomhhddagaa",1,0,0,0,0,0,0
"dirltrpictwittercomhlqpmzwla",1,0,0,0,0,0,0
"dirltrpictwittercomiqfxnzia",1,0,0,0,0,0,0
"dirltrpictwittercomkgriwnmta",1,0,0,0,0,0,0
"dirltrpictwittercomlgooelfwhaquot",0,1,0,0,0,0,0
"dirltrpictwittercomlkohfwojya",1,0,0,0,0,0,0
"dirltrpictwittercommxlaeaanta",0,1,0,0,0,0,0
"dirltrpictwittercomofqkslvsibaquot",1,0,0,0,0,0,0
"dirltrpictwittercomonfavdwpta",0,3,0,0,0,0,0
"dirltrpictwittercomorzgauwyvxa",0,1,0,0,0,0,0
"dirltrpictwittercomozpjyvjba",1,0,0,0,0,0,0
"dirltrpictwittercomqfnwqgtkia",1,0,0,0,0,0,0
"dirltrpictwittercomqhxgluopdka",0,0,0,1,0,0,0
"dirltrpictwittercomrijaqmria",0,1,0,0,0,0,0
"dirltrpictwittercomrzjezrudzda",1,0,0,0,0,0,0
"dirltrpictwittercomsmusyoha",1,0,0,0,0,0,0
"dirltrpictwittercomtyjtrngjlya",1,0,0,0,0,0,0
"dirltrpictwittercomwadlvflxmya",0,0,0,1,0,0,0
"dirltrpictwittercomwhmsgtmaraa",1,0,0,0,0,0,0
"dirltrpictwittercomxemxyerba",0,1,0,0,0,0,0
"dirltrpictwittercomzmgskasma",1,0,0,0,0,0,0
"dirltrtcompxljrva",1,0,0,0,0,0,0
"dirti",1,0,0,0,0,0,0
"dis",0,0,0,0,0,1,0
"disguis",1,0,0,0,0,0,0
"disgust",0,0,0,0,0,0,1
"disgustin",2,0,0,0,0,0,0
"disinform",274,8,4,4,0,0,0
"dispel",1,0,0,0,0,0,0
